exper,exper2,mbirth,moyeduc,payeduc,sibs,yeduc,lincome
19,361,6,9,9,1,9,5.7037826
19,361,4,12,12,1,9,5.9914646
19,361,1,9,9,1,9,6.2146082
19,361,9,9,9,1,9,6.2146082
23,529,8,9,9,3,9,6.3099184
23,529,11,12,13,2,9,6.3099184
23,529,3,9,9,2,9,6.1092477
23,529,6,9,9,6,9,6.3969297
9,81,10,13,13,1,11,5.2983174
9,81,11,12,12,2,11,5.521461
9,81,11,12,12,0,11,5.857933
12,144,9,12,12,2,11,5.521461
12,144,6,9,9,4,11,5.7037826
12,144,1,13,12,2,11,5.521461
17,289,10,9,9,1,11,5.2983174
17,289,3,12,9,2,11,5.9914646
17,289,11,12,12,1,11,6.856462
18,324,12,12,12,2,11,5.7037826
18,324,8,9,9,2,11,6.2146082
18,324,9,12,12,1,11,6.2146082
18,324,8,16,16,1,11,6.2146082
7,49,4,12,12,2,12,5.2983174
7,49,7,9,9,1,12,5.857933
7,49,1,12,14,2,12,5.7037826
7,49,7,14,12,0,12,5.521461
8,64,6,12,12,2,12,5.521461
8,64,6,9,9,0,12,5.7037826
8,64,11,16,16,1,12,5.7037826
8,64,11,12,9,2,12,6.2146082
9,81,3,12,12,2,12,5.7037826
9,81,11,9,9,1,12,5.7037826
9,81,3,12,12,2,12,6.3099184
9,81,1,12,12,3,12,5.857933
9,81,1,12,14,3,12,5.7037826
9,81,7,9,9,1,12,6.2146082
10,100,1,12,12,1,12,6.3969297
10,100,4,12,12,4,12,5.7037826
10,100,3,14,16,1,12,5.857933
10,100,1,9,9,1,12,5.7037826
10,100,10,9,9,4,12,5.7037826
10,100,6,12,12,1,12,5.9914646
10,100,2,12,12,3,12,6.9077554
11,121,3,12,12,1,12,5.857933
11,121,3,12,12,2,12,5.857933
11,121,2,12,12,3,12,5.857933
11,121,10,12,14,1,12,5.7037826
11,121,10,9,9,2,12,5.9914646
11,121,6,12,12,1,12,5.9914646
11,121,12,12,12,1,12,5.857933
11,121,3,12,12,2,12,5.857933
11,121,2,12,16,1,12,5.857933
12,144,12,9,12,0,12,5.9914646
12,144,6,12,12,0,12,5.9914646
12,144,1,9,9,1,12,5.857933
12,144,12,12,9,1,12,5.9914646
12,144,7,9,12,1,12,5.9914646
12,144,2,12,12,2,12,6.1092477
13,169,5,12,12,1,12,5.0106354
13,169,5,12,12,1,12,5.0106354
13,169,9,12,12,1,12,5.521461
13,169,11,12,9,2,12,5.7037826
13,169,1,12,9,1,12,6.2146082
13,169,12,12,12,2,12,5.857933
13,169,7,9,9,2,12,5.9914646
13,169,8,12,9,2,12,5.9914646
13,169,10,12,9,2,12,5.857933
13,169,7,12,12,1,12,5.9914646
13,169,6,12,12,2,12,5.9914646
13,169,4,12,16,1,12,5.7037826
13,169,3,16,16,2,12,6.3099184
13,169,7,18,18,1,12,5.9914646
13,169,1,12,12,1,12,5.521461
13,169,4,14,12,1,12,5.857933
14,196,9,12,12,1,12,5.7037826
14,196,1,9,9,2,12,5.857933
14,196,11,12,12,1,12,5.521461
14,196,10,9,9,1,12,5.9914646
14,196,8,12,12,2,12,5.9914646
14,196,9,13,16,2,12,5.9914646
14,196,6,12,16,2,12,6.1092477
15,225,12,12,16,2,12,5.521461
15,225,10,12,12,1,12,5.521461
15,225,9,12,16,4,12,6.1092477
15,225,1,9,9,3,12,5.857933
15,225,1,12,12,2,12,5.9914646
15,225,8,12,12,2,12,5.857933
15,225,3,9,9,2,12,5.857933
15,225,1,12,12,1,12,5.9914646
15,225,7,12,12,1,12,6.1092477
15,225,7,12,12,2,12,5.9914646
15,225,4,14,12,2,12,5.9914646
15,225,6,16,16,2,12,5.7037826
15,225,7,12,9,2,12,5.857933
15,225,9,9,12,2,12,5.857933
15,225,11,12,12,1,12,6.3969297
15,225,1,9,9,2,12,6.1092477
16,256,8,12,12,3,12,5.857933
16,256,7,9,9,1,12,5.9914646
16,256,10,9,9,1,12,5.9914646
16,256,7,9,9,2,12,5.857933
16,256,8,12,12,2,12,5.9914646
16,256,12,12,16,2,12,5.7037826
16,256,10,12,9,1,12,6.1092477
16,256,1,9,12,1,12,6.3099184
16,256,3,12,12,1,12,6.1092477
16,256,7,12,12,1,12,5.9914646
16,256,11,12,12,1,12,5.9914646
16,256,7,12,12,2,12,5.9914646
16,256,10,12,12,2,12,5.9914646
16,256,6,9,9,1,12,5.857933
16,256,1,9,9,2,12,6.2146082
16,256,4,9,9,2,12,6.2146082
16,256,8,9,9,3,12,6.1092477
16,256,11,12,9,1,12,6.3969297
16,256,6,12,12,0,12,6.2146082
16,256,2,12,12,1,12,6.1092477
16,256,5,12,12,1,12,6.3969297
16,256,2,12,12,2,12,7.2964134
16,256,12,12,9,2,12,7.1507015
17,289,7,12,9,1,12,5.0106354
17,289,2,9,9,1,12,5.2983174
17,289,11,12,9,1,12,6.1092477
17,289,1,12,12,1,12,5.521461
17,289,4,12,12,1,12,5.521461
17,289,10,12,12,1,12,5.857933
17,289,10,9,9,1,12,5.2983174
17,289,8,9,9,2,12,6.1092477
17,289,12,12,9,1,12,5.9914646
17,289,4,9,12,1,12,5.9914646
17,289,7,12,12,1,12,5.7037826
17,289,10,12,12,2,12,5.857933
17,289,9,12,16,1,12,5.9914646
17,289,7,9,12,1,12,6.1092477
17,289,8,14,12,1,12,6.1092477
17,289,5,12,16,1,12,6.2146082
17,289,3,9,9,2,12,6.1092477
18,324,12,12,12,0,12,6.1092477
18,324,1,13,16,2,12,5.521461
18,324,10,9,9,2,12,6.2146082
18,324,9,12,13,1,12,6.2146082
18,324,10,9,12,2,12,6.2146082
18,324,6,12,12,1,12,6.3969297
18,324,9,12,12,2,12,6.3969297
18,324,9,12,16,2,12,6.3969297
18,324,7,12,12,1,12,6.3969297
18,324,7,12,12,2,12,5.857933
18,324,6,12,12,3,12,6.1092477
18,324,9,12,14,2,12,6.1092477
19,361,3,12,9,1,12,5.857933
19,361,8,12,12,1,12,5.9914646
19,361,11,12,12,2,12,6.2146082
19,361,10,13,12,1,12,5.7037826
19,361,7,9,9,1,12,6.3099184
19,361,7,9,9,1,12,6.1092477
19,361,5,12,12,2,12,5.9914646
19,361,8,12,12,2,12,5.9914646
19,361,5,9,9,0,12,5.9914646
19,361,1,9,9,2,12,6.2146082
19,361,2,9,9,2,12,6.3969297
19,361,12,9,9,2,12,6.1092477
19,361,9,12,9,1,12,6.3969297
19,361,9,12,12,1,12,5.9914646
19,361,4,9,9,1,12,6.3969297
19,361,11,9,9,1,12,6.2146082
19,361,3,12,9,2,12,6.3969297
19,361,8,12,9,2,12,6.5510802
19,361,7,12,12,0,12,6.3969297
19,361,5,12,12,4,12,6.3099184
20,400,3,9,9,1,12,6.1092477
20,400,12,14,16,2,12,5.857933
20,400,3,12,12,1,12,5.7037826
20,400,3,9,9,1,12,6.3099184
20,400,6,12,9,2,12,6.3099184
20,400,9,9,12,1,12,6.3099184
20,400,4,12,12,1,12,6.1092477
20,400,12,9,9,0,12,6.2146082
20,400,1,9,9,1,12,6.1092477
20,400,4,9,9,1,12,6.1092477
20,400,10,9,9,2,12,6.3969297
20,400,2,12,9,1,12,6.1092477
20,400,11,9,12,2,12,6.2146082
20,400,3,12,12,0,12,6.2146082
20,400,2,12,12,2,12,5.857933
20,400,10,12,12,2,12,6.2146082
20,400,4,12,16,1,12,6.2146082
20,400,3,9,9,1,12,6.3969297
20,400,3,9,9,1,12,6.3099184
20,400,9,9,9,1,12,6.5510802
20,400,4,9,9,2,12,6.3969297
20,400,10,9,9,2,12,6.1092477
20,400,2,12,12,1,12,6.5510802
20,400,5,12,12,2,12,6.5510802
20,400,12,12,12,2,12,6.5510802
21,441,6,14,16,1,12,5.857933
21,441,6,9,9,1,12,6.2146082
21,441,2,9,12,1,12,5.9914646
21,441,1,9,9,1,12,6.3099184
21,441,2,9,9,2,12,6.1092477
21,441,6,9,12,1,12,6.1092477
21,441,1,9,12,2,12,5.9914646
21,441,12,9,16,1,12,5.9914646
21,441,8,12,16,1,12,6.1092477
21,441,4,9,9,1,12,5.9914646
21,441,9,9,9,4,12,6.2146082
21,441,7,12,9,2,12,6.2146082
21,441,4,9,12,1,12,6.3969297
21,441,10,12,12,1,12,6.2146082
21,441,3,14,12,1,12,6.3969297
21,441,5,12,16,1,12,6.1092477
21,441,5,9,9,0,12,6.3099184
21,441,2,9,9,2,12,6.3099184
21,441,7,12,16,1,12,6.3969297
22,484,7,9,9,0,12,6.2146082
22,484,2,9,9,1,12,5.9914646
22,484,7,9,9,1,12,6.1092477
22,484,5,9,9,2,12,6.5510802
22,484,7,12,9,1,12,6.3099184
22,484,4,9,12,1,12,6.3099184
22,484,1,12,12,1,12,5.9914646
22,484,2,12,12,1,12,6.1092477
22,484,10,12,12,2,12,5.9914646
22,484,6,9,9,1,12,6.3969297
22,484,11,9,9,1,12,6.3969297
22,484,7,9,9,2,12,6.1092477
22,484,7,12,9,2,12,6.1092477
22,484,11,12,12,2,12,6.1092477
22,484,1,9,9,1,12,6.3099184
22,484,7,9,9,1,12,6.5510802
22,484,8,9,9,3,12,6.3969297
22,484,5,12,9,1,12,6.5510802
22,484,5,12,9,2,12,6.2146082
22,484,1,12,12,1,12,6.3099184
22,484,9,12,12,1,12,6.3099184
22,484,10,12,12,1,12,6.3969297
22,484,8,9,9,2,12,6.7452364
23,529,4,9,12,2,12,5.9914646
23,529,7,9,9,1,12,6.1092477
23,529,12,9,9,4,12,6.3099184
23,529,4,9,9,0,12,6.2146082
23,529,1,9,9,1,12,6.3969297
23,529,6,9,9,1,12,6.2146082
23,529,7,9,9,1,12,6.2146082
23,529,8,9,9,1,12,6.2146082
23,529,10,9,9,2,12,6.2146082
23,529,1,12,9,2,12,6.1092477
23,529,2,12,12,1,12,6.2146082
23,529,9,12,12,1,12,6.2146082
23,529,12,12,12,2,12,6.3969297
23,529,3,9,9,2,12,6.3969297
23,529,7,9,9,2,12,6.5510802
23,529,10,9,9,2,12,6.3099184
23,529,12,12,12,1,12,6.3969297
23,529,7,9,9,2,12,6.6200733
6,36,1,9,12,2,13,6.3969297
6,36,7,14,12,1,13,6.2146082
6,36,6,9,9,1,13,6.3969297
8,64,9,12,13,1,13,5.7037826
8,64,2,13,12,1,13,5.521461
8,64,2,12,9,0,13,5.9914646
10,100,8,12,12,2,13,5.7037826
10,100,6,12,16,1,13,5.7037826
10,100,7,12,12,2,13,5.857933
10,100,1,14,16,1,13,5.9914646
10,100,10,12,12,2,13,6.1092477
11,121,3,12,12,1,13,5.7037826
11,121,7,9,12,1,13,5.857933
11,121,5,13,12,1,13,5.521461
11,121,1,9,16,1,13,5.857933
11,121,12,12,16,3,13,5.857933
11,121,5,9,9,1,13,5.857933
11,121,10,13,9,2,13,5.9914646
11,121,12,12,12,1,13,5.857933
11,121,9,12,16,1,13,5.9914646
12,144,7,12,9,2,13,5.9914646
12,144,10,14,12,1,13,5.9914646
12,144,11,14,12,2,13,5.7037826
12,144,1,12,12,1,13,5.857933
12,144,7,12,9,1,13,6.2146082
12,144,4,13,13,3,13,6.2146082
12,144,7,12,16,4,13,6.2146082
13,169,7,12,12,1,13,5.2983174
13,169,6,16,16,2,13,5.521461
13,169,4,12,12,0,13,5.521461
13,169,5,12,12,3,13,5.521461
13,169,4,14,16,2,13,5.857933
13,169,9,9,12,0,13,5.857933
13,169,12,12,12,1,13,5.9914646
13,169,1,14,12,1,13,5.9914646
14,196,9,9,12,2,13,5.9914646
14,196,8,12,12,0,13,5.857933
14,196,7,16,16,1,13,5.7037826
14,196,3,12,12,2,13,6.3099184
14,196,2,12,12,3,13,5.857933
14,196,12,13,13,1,13,5.857933
14,196,3,12,16,1,13,6.3099184
14,196,3,9,9,2,13,6.1092477
14,196,2,12,12,1,13,6.2146082
14,196,5,13,9,1,13,6.2146082
15,225,4,12,16,2,13,6.3969297
15,225,1,12,12,1,13,5.9914646
15,225,2,9,9,1,13,6.3099184
15,225,1,12,12,1,13,6.1092477
15,225,10,12,12,1,13,5.7037826
15,225,8,14,12,0,13,5.9914646
15,225,11,12,12,1,13,6.6200733
15,225,3,9,12,2,13,6.7452364
15,225,8,12,12,1,13,6.3099184
15,225,2,12,16,2,13,6.5510802
16,256,1,9,12,1,13,6.1092477
16,256,4,12,12,2,13,6.1092477
16,256,2,12,12,1,13,6.3969297
16,256,12,12,12,1,13,6.6200733
16,256,10,12,12,2,13,6.2146082
16,256,10,9,9,1,13,6.3969297
16,256,1,12,12,1,13,6.5510802
16,256,3,12,12,1,13,6.5510802
16,256,5,12,16,1,13,6.6200733
17,289,12,12,12,1,13,5.7037826
17,289,1,9,16,1,13,5.7037826
17,289,12,13,13,1,13,6.1092477
17,289,8,9,9,1,13,5.9914646
17,289,10,12,16,0,13,6.1092477
17,289,2,9,9,1,13,6.5510802
17,289,1,12,12,1,13,6.2146082
17,289,6,12,12,1,13,6.5510802
17,289,7,12,12,1,13,6.5510802
18,324,1,12,9,5,13,5.7037826
18,324,2,14,12,2,13,6.1092477
18,324,2,12,9,2,13,5.7037826
18,324,4,16,12,1,13,6.3969297
18,324,4,12,16,2,13,6.2146082
18,324,6,9,9,1,13,6.3969297
18,324,3,9,9,4,13,5.9914646
19,361,7,12,12,1,13,5.9914646
19,361,12,12,16,1,13,5.2983174
19,361,3,9,12,2,13,5.2983174
19,361,2,9,12,0,13,6.2146082
19,361,2,12,12,1,13,5.9914646
19,361,5,13,16,4,13,6.5510802
20,400,7,9,9,1,13,5.521461
20,400,8,12,9,2,13,5.857933
20,400,12,13,9,2,13,6.2146082
20,400,1,9,9,1,13,5.857933
20,400,6,9,9,1,13,6.3099184
20,400,8,9,9,1,13,6.3099184
20,400,7,9,9,2,13,5.9914646
20,400,3,12,12,1,13,6.3969297
20,400,2,12,12,2,13,6.3099184
20,400,8,12,12,2,13,6.5510802
20,400,11,12,12,2,13,6.3969297
21,441,8,12,16,1,13,5.857933
21,441,1,12,12,1,13,5.857933
21,441,6,12,12,1,13,6.2146082
21,441,10,16,16,0,13,6.3969297
21,441,10,9,12,1,13,6.3969297
22,484,5,13,12,1,13,5.521461
22,484,7,9,9,3,13,5.9914646
22,484,1,12,12,3,13,5.9914646
22,484,4,12,9,1,13,5.7037826
22,484,3,12,12,1,13,5.9914646
22,484,3,12,12,2,13,6.2146082
10,100,11,14,16,2,14,5.9914646
10,100,10,14,9,2,14,5.9914646
10,100,10,12,12,2,14,6.2146082
15,225,8,12,12,1,14,5.7037826
15,225,6,16,16,1,14,6.7452364
15,225,10,9,12,1,14,6.7452364
17,289,2,9,12,1,14,5.7037826
